CDHOUSE,CDASSIST,CDHELP,CDSOCIAL,CDDISCUS,CPROB1,CPROB2,CPROB3,C
0,0,0,0,0,0,0,1,3
0,0,0,0,1,0,0,1,3
0,0,0,0,*,0,0,1,3
0,0,0,1,0,0,0,1,3
0,0,0,1,1,0,0,1,3
0,0,0,1,*,0,0,1,3
0,0,0,2,0,0,0,1,3
0,0,0,2,1,0,0,1,3
0,0,0,3,0,0,0,1,3
0,0,0,3,1,0,0,1,3
0,0,0,4,0,0,0,1,3
0,0,0,4,1,0,0,1,3
0,0,0,4,*,0,0,1,3
0,0,0,*,0,0,0,1,3
0,0,0,*,1,0,0,1,3
0,0,0,*,*,0,0,1,3
0,0,1,0,0,0,0,1,3
0,0,1,0,1,0,0,1,3
0,0,1,1,0,0,0,1,3
0,0,1,1,1,0,0,1,3
0,0,1,2,0,0,0,1,3
0,0,1,2,1,0,0,1,3
0,0,1,3,0,0,0,1,3
0,0,1,4,0,0,0,1,3
0,0,1,4,1,0,0,1,3
0,0,1,*,0,0,0,1,3
0,0,1,*,1,0,0,1,3
0,0,2,0,0,0,0,1,3
0,0,2,0,1,0,0,1,3
0,0,2,0,*,0,0,1,3
0,0,2,1,0,0,0,1,3
0,0,2,1,1,0,0,1,3
0,0,2,1,*,0,0,1,3
0,0,2,2,0,0,0,1,3
0,0,2,2,1,0,0,1,3
0,0,2,2,*,0,0,1,3
0,0,2,3,0,0,0,1,3
0,0,2,3,1,0,0,1,3
0,0,2,4,0,0,0,1,3
0,0,2,4,1,0,0,1,3
0,0,2,*,0,0,0,1,3
0,0,2,*,1,0,0,1,3
0,0,2,*,*,0,0,1,3
0,0,3,0,0,0,0,1,3
0,0,3,0,1,0,0,1,3
0,0,3,1,0,0,0,1,3
0,0,3,1,1,0,0,1,3
0,0,3,2,0,0,0,1,3
0,0,3,2,1,0,0,1,3
0,0,3,3,0,0,0,1,3
0,0,3,3,1,0,0,1,3
0,0,3,4,0,0,0,1,3
0,0,3,4,1,0,0,1,3
0,0,3,*,1,0,0,1,3
0,0,4,0,0,0,0,1,3
0,0,4,0,1,0,0,1,3
0,0,4,0,*,0,0,1,3
0,0,4,1,0,0,0,1,3
0,0,4,1,1,0,0,1,3
0,0,4,2,0,0,0,1,3
0,0,4,2,1,0.001,0,0.999,3
0,0,4,3,1,0.007,0,0.993,3
0,0,4,4,0,0.012,0,0.988,3
0,0,4,4,1,0.046,0,0.954,3
0,0,4,4,*,0.025,0,0.975,3
0,0,4,*,0,0.002,0,0.998,3
0,0,4,*,1,0.009,0,0.991,3
0,0,4,*,*,0.005,0,0.995,3
0,0,*,0,0,0,0,1,3
0,0,*,0,1,0,0,1,3
0,1,0,0,0,0,0,1,3
0,1,0,0,1,0,0,1,3
0,1,0,1,0,0,0,1,3
0,1,0,1,1,0,0,1,3
0,1,0,2,0,0,0,1,3
0,1,0,2,1,0,0,1,3
0,1,0,3,0,0,0,1,3
0,1,0,3,1,0,0,1,3
0,1,0,4,0,0,0,1,3
0,1,0,4,1,0,0,1,3
0,1,0,*,0,0,0,1,3
0,1,1,0,0,0,0,1,3
0,1,1,0,1,0,0,1,3
0,1,1,1,0,0,0,1,3
0,1,1,1,1,0,0,1,3
0,1,1,2,0,0,0,1,3
0,1,1,2,1,0,0,1,3
0,1,1,3,0,0,0,1,3
0,1,1,3,1,0,0,1,3
0,1,1,4,0,0,0,1,3
0,1,1,4,1,0,0,1,3
0,1,2,0,0,0,0,1,3
0,1,2,0,1,0,0,1,3
0,1,2,1,0,0,0,1,3
0,1,2,1,1,0,0,1,3
0,1,2,2,0,0,0,1,3
0,1,2,2,1,0,0,1,3
0,1,2,4,0,0,0,1,3
0,1,2,4,1,0,0,1,3
0,1,2,*,1,0,0,1,3
0,1,3,0,0,0,0,1,3
0,1,3,0,1,0,0,1,3
0,1,3,1,0,0,0,1,3
0,1,3,1,1,0,0,1,3
0,1,3,2,0,0,0,1,3
0,1,3,2,1,0,0,1,3
0,1,3,2,*,0,0,1,3
0,1,3,4,0,0,0,1,3
0,1,3,*,0,0,0,1,3
0,1,4,0,0,0,0,1,3
0,1,4,0,1,0,0,1,3
0,1,4,1,0,0,0,1,3
0,1,4,1,1,0,0,1,3
0,1,4,2,0,0,0,1,3
0,1,4,3,0,0.003,0,0.997,3
0,1,4,3,1,0.01,0,0.99,3
0,1,4,4,0,0.018,0,0.982,3
0,1,4,4,1,0.067,0,0.933,3
0,1,4,4,*,0.037,0,0.963,3
0,1,4,*,1,0.013,0,0.987,3
0,1,*,*,0,0,0,1,3
0,2,0,0,0,0,0,1,3
0,2,0,0,1,0,0,1,3
0,2,0,0,*,0,0,1,3
0,2,0,1,0,0,0,1,3
0,2,0,1,1,0,0,1,3
0,2,0,2,0,0,0,1,3
0,2,0,2,1,0,0,1,3
0,2,0,3,0,0,0,1,3
0,2,0,3,1,0,0,1,3
0,2,0,3,*,0,0,1,3
0,2,0,4,0,0,0,1,3
0,2,0,4,1,0,0,1,3
0,2,0,*,0,0,0,1,3
0,2,0,*,1,0,0,1,3
0,2,0,*,*,0,0,1,3
0,2,1,0,0,0,0,1,3
0,2,1,0,1,0,0,1,3
0,2,1,1,0,0,0,1,3
0,2,1,1,1,0,0,1,3
0,2,1,1,*,0,0,1,3
0,2,1,2,0,0,0,1,3
0,2,1,2,1,0,0,1,3
0,2,1,3,0,0,0,1,3
0,2,1,3,1,0,0,1,3
0,2,1,4,0,0,0,1,3
0,2,1,4,1,0,0,1,3
0,2,1,*,0,0,0,1,3
0,2,1,*,1,0,0,1,3
0,2,1,*,*,0,0,1,3
0,2,2,0,0,0,0,1,3
0,2,2,0,1,0,0,1,3
0,2,2,1,0,0,0,1,3
0,2,2,1,1,0,0,1,3
0,2,2,2,0,0,0,1,3
0,2,2,2,1,0,0,1,3
0,2,2,2,*,0,0,1,3
0,2,2,3,0,0,0,1,3
0,2,2,3,1,0,0,1,3
0,2,2,4,0,0,0,1,3
0,2,2,4,1,0,0,1,3
0,2,2,*,0,0,0,1,3
0,2,2,*,1,0,0,1,3
0,2,3,0,0,0,0,1,3
0,2,3,0,1,0,0,1,3
0,2,3,1,0,0,0,1,3
0,2,3,1,1,0,0,1,3
0,2,3,2,0,0,0,1,3
0,2,3,2,1,0,0,1,3
0,2,3,3,1,0,0,1,3
0,2,3,4,0,0,0,1,3
0,2,3,4,1,0,0,1,3
0,2,4,0,0,0,0.004,0.996,3
0,2,4,0,1,0,0.005,0.995,3
0,2,4,1,0,0,0.005,0.995,3
0,2,4,1,1,0,0.007,0.993,3
0,2,4,2,0,0,0.009,0.99,3
0,2,4,2,1,0.002,0.013,0.985,3
0,2,4,3,1,0.01,0.05,0.94,3
0,2,4,4,0,0.019,0.017,0.964,3
0,2,4,4,1,0.072,0.022,0.906,3
0,2,4,*,0,0.004,0.012,0.984,3
0,2,4,*,1,0.014,0.017,0.969,3
0,2,4,*,*,0.008,0.014,0.978,3
0,2,*,1,0,0,0,1,3
0,2,*,2,1,0,0.001,0.999,3
0,2,*,*,1,0.001,0.001,0.998,3
0,2,*,*,*,0,0.001,0.999,3
0,3,4,0,0,0.002,0.998,0,2
0,3,4,0,1,0.006,0.994,0,2
0,3,4,0,*,0.004,0.996,0,2
0,3,4,1,0,0,1,0,2
0,3,4,1,1,0.001,0.999,0,2
0,3,4,1,*,0.001,0.999,0,2
0,3,4,2,0,0.006,0.994,0,2
0,3,4,2,1,0.016,0.984,0,2
0,3,4,3,0,0.009,0.991,0,2
0,3,4,3,1,0.026,0.974,0,2
0,3,4,4,0,0.126,0.874,0,2
0,3,4,4,1,0.29,0.71,0,2
0,3,4,*,0,0.036,0.964,0,2
0,3,4,*,1,0.096,0.904,0,2
0,3,4,*,*,0.065,0.935,0,2
0,4,4,0,0,0.042,0.958,0,2
0,4,4,0,1,0.111,0.889,0,2
0,4,4,1,0,0.006,0.994,0,2
0,4,4,1,1,0.017,0.983,0,2
0,4,4,2,0,0.107,0.893,0,2
0,4,4,2,1,0.253,0.747,0,2
0,4,4,3,0,0.158,0.842,0,2
0,4,4,3,1,0.348,0.652,0,2
0,4,4,3,*,0.259,0.741,0,2
0,4,4,4,0,0.744,0.256,0,1
0,4,4,4,1,0.892,0.108,0,1
0,4,4,4,*,0.844,0.156,0,1
0,4,4,*,0,0.431,0.569,0,2
0,4,4,*,1,0.683,0.317,0,1
0,*,*,0,0,0.001,0.039,0.961,3
0,*,*,0,1,0.003,0.053,0.944,3
0,*,*,1,0,0,0.054,0.946,3
0,*,*,2,1,0.019,0.126,0.855,3
0,*,*,3,0,0.024,0.285,0.691,3
0,*,*,4,0,0.17,0.133,0.697,3
0,*,*,4,1,0.435,0.119,0.445,3
0,*,*,*,0,0.038,0.114,0.848,3
0,*,*,*,1,0.131,0.138,0.73,3
0,*,*,*,*,0.077,0.124,0.799,3
1,0,0,0,0,0,0,1,3
1,0,0,0,1,0,0,1,3
1,0,0,0,*,0,0,1,3
1,0,0,1,0,0,0,1,3
1,0,0,1,1,0,0,1,3
1,0,0,2,0,0,0,1,3
1,0,0,2,1,0,0,1,3
1,0,0,2,*,0,0,1,3
1,0,0,3,0,0,0,1,3
1,0,0,3,1,0,0,1,3
1,0,0,4,0,0,0,1,3
1,0,0,4,1,0,0,1,3
1,0,0,4,*,0,0,1,3
1,0,0,*,*,0,0,1,3
1,0,1,0,0,0,0,1,3
1,0,1,0,1,0,0,1,3
1,0,1,1,0,0,0,1,3
1,0,1,1,1,0,0,1,3
1,0,1,2,0,0,0,1,3
1,0,1,2,1,0,0,1,3
1,0,1,3,0,0,0,1,3
1,0,1,3,1,0,0,1,3
1,0,1,4,0,0,0,1,3
1,0,1,4,1,0,0,1,3
1,0,1,*,0,0,0,1,3
1,0,1,*,1,0,0,1,3
1,0,2,0,0,0,0,1,3
1,0,2,0,1,0,0,1,3
1,0,2,1,0,0,0,1,3
1,0,2,1,1,0,0,1,3
1,0,2,2,0,0,0,1,3
1,0,2,2,1,0,0,1,3
1,0,2,2,*,0,0,1,3
1,0,2,3,0,0,0,1,3
1,0,2,3,1,0,0,1,3
1,0,2,4,0,0,0,1,3
1,0,2,*,0,0,0,1,3
1,0,2,*,1,0,0,1,3
1,0,3,0,0,0,0,1,3
1,0,3,0,1,0,0,1,3
1,0,3,1,0,0,0,1,3
1,0,3,1,1,0,0,1,3
1,0,3,2,0,0,0,1,3
1,0,3,2,1,0,0,1,3
1,0,3,3,1,0,0,1,3
1,0,3,4,0,0,0,1,3
1,0,3,4,1,0,0,1,3
1,0,3,*,1,0,0,1,3
1,0,4,0,0,0,0,1,3
1,0,4,0,1,0,0,1,3
1,0,4,1,0,0,0,1,3
1,0,4,1,1,0,0,1,3
1,0,4,2,0,0,0,1,3
1,0,4,2,1,0.001,0,0.999,3
1,0,4,3,1,0.003,0,0.997,3
1,0,4,4,0,0.006,0,0.994,3
1,0,4,*,1,0.004,0,0.996,3
1,1,0,0,0,0,0,1,3
1,1,0,0,1,0,0,1,3
1,1,0,1,0,0,0,1,3
1,1,0,1,1,0,0,1,3
1,1,0,2,0,0,0,1,3
1,1,0,2,1,0,0,1,3
1,1,0,3,0,0,0,1,3
1,1,0,3,1,0,0,1,3
1,1,0,4,0,0,0,1,3
1,1,0,4,1,0,0,1,3
1,1,0,*,0,0,0,1,3
1,1,1,0,0,0,0,1,3
1,1,1,0,1,0,0,1,3
1,1,1,1,0,0,0,1,3
1,1,1,1,1,0,0,1,3
1,1,1,1,*,0,0,1,3
1,1,1,2,0,0,0,1,3
1,1,1,2,1,0,0,1,3
1,1,1,2,*,0,0,1,3
1,1,1,3,0,0,0,1,3
1,1,1,3,1,0,0,1,3
1,1,1,4,0,0,0,1,3
1,1,1,4,1,0,0,1,3
1,1,1,4,*,0,0,1,3
1,1,1,*,0,0,0,1,3
1,1,1,*,1,0,0,1,3
1,1,2,0,0,0,0,1,3
1,1,2,0,1,0,0,1,3
1,1,2,0,*,0,0,1,3
1,1,2,1,0,0,0,1,3
1,1,2,1,1,0,0,1,3
1,1,2,2,0,0,0,1,3
1,1,2,2,1,0,0,1,3
1,1,2,3,0,0,0,1,3
1,1,2,3,1,0,0,1,3
1,1,2,4,0,0,0,1,3
1,1,2,4,1,0,0,1,3
1,1,2,*,0,0,0,1,3
1,1,2,*,1,0,0,1,3
1,1,3,0,0,0,0,1,3
1,1,3,0,1,0,0,1,3
1,1,3,1,0,0,0,1,3
1,1,3,1,1,0,0,1,3
1,1,3,1,*,0,0,1,3
1,1,3,2,0,0,0,1,3
1,1,3,2,1,0,0,1,3
1,1,3,3,1,0,0,1,3
1,1,3,4,0,0,0,1,3
1,1,3,4,1,0,0,1,3
1,1,3,*,0,0,0,1,3
1,1,4,0,0,0,0,1,3
1,1,4,0,1,0,0,1,3
1,1,4,1,0,0,0,1,3
1,1,4,1,1,0,0,1,3
1,1,4,2,0,0,0,1,3
1,1,4,3,0,0.001,0,0.999,3
1,1,4,3,1,0.005,0,0.995,3
1,1,4,4,0,0.009,0,0.991,3
1,1,4,4,1,0.034,0,0.966,3
1,1,*,2,1,0,0,1,3
1,1,*,4,1,0.002,0,0.998,3
1,1,*,*,*,0,0,1,3
1,2,0,0,0,0,0,1,3
1,2,0,0,1,0,0,1,3
1,2,0,1,0,0,0,1,3
1,2,0,1,1,0,0,1,3
1,2,0,2,0,0,0,1,3
1,2,0,2,1,0,0,1,3
1,2,0,3,0,0,0,1,3
1,2,0,3,1,0,0,1,3
1,2,0,4,0,0,0,1,3
1,2,0,4,1,0,0,1,3
1,2,0,*,0,0,0,1,3
1,2,0,*,1,0,0,1,3
1,2,0,*,*,0,0,1,3
1,2,1,0,0,0,0,1,3
1,2,1,0,1,0,0,1,3
1,2,1,1,0,0,0,1,3
1,2,1,1,1,0,0,1,3
1,2,1,1,*,0,0,1,3
1,2,1,2,0,0,0,1,3
1,2,1,2,1,0,0,1,3
1,2,1,3,0,0,0,1,3
1,2,1,3,1,0,0,1,3
1,2,1,4,0,0,0,1,3
1,2,1,4,1,0,0,1,3
1,2,1,4,*,0,0,1,3
1,2,1,*,0,0,0,1,3
1,2,1,*,1,0,0,1,3
1,2,2,0,0,0,0,1,3
1,2,2,0,1,0,0,1,3
1,2,2,1,0,0,0,1,3
1,2,2,1,1,0,0,1,3
1,2,2,1,*,0,0,1,3
1,2,2,2,0,0,0,1,3
1,2,2,2,1,0,0,1,3
1,2,2,2,*,0,0,1,3
1,2,2,3,0,0,0,1,3
1,2,2,3,1,0,0,1,3
1,2,2,4,0,0,0,1,3
1,2,2,4,1,0,0,1,3
1,2,2,*,0,0,0,1,3
1,2,2,*,1,0,0,1,3
1,2,3,0,0,0,0,1,3
1,2,3,0,1,0,0,1,3
1,2,3,0,*,0,0,1,3
1,2,3,1,0,0,0,1,3
1,2,3,1,1,0,0,1,3
1,2,3,2,0,0,0,1,3
1,2,3,2,1,0,0,1,3
1,2,3,3,0,0,0,1,3
1,2,3,3,1,0,0,1,3
1,2,3,4,0,0,0,1,3
1,2,3,4,1,0,0,1,3
1,2,3,*,0,0,0,1,3
1,2,3,*,1,0,0,1,3
1,2,4,0,0,0,0.006,0.994,3
1,2,4,0,1,0,0.008,0.992,3
1,2,4,0,*,0,0.007,0.993,3
1,2,4,1,0,0,0.008,0.992,3
1,2,4,1,1,0,0.011,0.989,3
1,2,4,2,0,0,0.015,0.985,3
1,2,4,2,1,0.001,0.021,0.978,3
1,2,4,3,0,0.001,0.056,0.943,3
1,2,4,3,1,0.005,0.077,0.918,3
1,2,4,4,0,0.009,0.026,0.964,3
1,2,4,4,1,0.036,0.036,0.928,3
1,2,4,*,0,0.002,0.019,0.979,3
1,2,4,*,*,0.004,0.022,0.974,3
1,2,*,1,0,0,0,1,3
1,2,*,2,0,0,0.001,0.999,3
1,2,*,2,1,0,0.001,0.999,3
1,2,*,*,0,0,0.001,0.999,3
1,2,*,*,*,0,0.001,0.999,3
1,3,4,0,0,0.001,0.999,0,2
1,3,4,0,1,0.002,0.998,0,2
1,3,4,1,0,0,1,0,2
1,3,4,1,1,0,1,0,2
1,3,4,2,0,0.002,0.998,0,2
1,3,4,2,1,0.005,0.995,0,2
1,3,4,3,0,0.003,0.997,0,2
1,3,4,3,1,0.008,0.992,0,2
1,3,4,4,0,0.043,0.957,0,2
1,3,4,4,1,0.113,0.887,0,2
1,3,4,4,*,0.077,0.923,0,2
1,3,4,*,0,0.012,0.988,0,2
1,3,4,*,1,0.032,0.968,0,2
1,3,4,*,*,0.021,0.979,0,2
1,4,4,0,0,0.014,0.986,0,2
1,4,4,0,1,0.038,0.962,0,2
1,4,4,1,0,0.002,0.998,0,2
1,4,4,1,1,0.005,0.995,0,2
1,4,4,2,0,0.036,0.964,0,2
1,4,4,2,1,0.096,0.904,0,2
1,4,4,2,*,0.065,0.935,0,2
1,4,4,3,0,0.056,0.944,0,2
1,4,4,3,1,0.143,0.857,0,2
1,4,4,3,*,0.099,0.901,0,2
1,4,4,4,0,0.477,0.523,0,2
1,4,4,4,1,0.722,0.278,0,1
1,4,4,4,*,0.629,0.371,0,1
1,4,4,*,0,0.192,0.808,0,2
1,4,4,*,1,0.403,0.597,0,2
1,*,*,0,0,0,0.059,0.94,3
1,*,*,0,1,0.001,0.082,0.917,3
1,*,*,1,0,0,0.082,0.918,3
1,*,*,1,1,0,0.112,0.888,3
1,*,*,2,0,0.002,0.141,0.856,3
1,*,*,2,1,0.009,0.187,0.804,3
1,*,*,3,0,0.01,0.39,0.6,3
1,*,*,3,1,0.034,0.462,0.504,3
1,*,*,4,0,0.085,0.211,0.704,3
1,*,*,4,1,0.253,0.222,0.525,3
1,*,*,*,0,0.018,0.172,0.81,3
1,*,*,*,1,0.064,0.215,0.721,3
1,*,*,*,*,0.037,0.19,0.774,3
2,0,0,0,0,0,0,1,3
2,0,0,0,1,0,0,1,3
2,0,0,0,*,0,0,1,3
2,0,0,1,0,0,0,1,3
2,0,0,1,1,0,0,1,3
2,0,0,1,*,0,0,1,3
2,0,0,2,0,0,0,1,3
2,0,0,2,1,0,0,1,3
2,0,0,3,0,0,0,1,3
2,0,0,3,1,0,0,1,3
2,0,0,3,*,0,0,1,3
2,0,0,4,0,0,0,1,3
2,0,0,4,1,0,0,1,3
2,0,0,4,*,0,0,1,3
2,0,0,*,0,0,0,1,3
2,0,0,*,1,0,0,1,3
2,0,0,*,*,0,0,1,3
2,0,1,0,0,0,0,1,3
2,0,1,0,1,0,0,1,3
2,0,1,1,0,0,0,1,3
2,0,1,1,1,0,0,1,3
2,0,1,1,*,0,0,1,3
2,0,1,2,0,0,0,1,3
2,0,1,2,1,0,0,1,3
2,0,1,3,0,0,0,1,3
2,0,1,3,1,0,0,1,3
2,0,1,4,0,0,0,1,3
2,0,1,4,1,0,0,1,3
2,0,1,*,0,0,0,1,3
2,0,2,0,0,0,0,1,3
2,0,2,0,1,0,0,1,3
2,0,2,1,0,0,0,1,3
2,0,2,1,1,0,0,1,3
2,0,2,1,*,0,0,1,3
2,0,2,2,0,0,0,1,3
2,0,2,2,1,0,0,1,3
2,0,2,2,*,0,0,1,3
2,0,2,3,0,0,0,1,3
2,0,2,3,1,0,0,1,3
2,0,2,4,0,0,0,1,3
2,0,2,4,1,0,0,1,3
2,0,2,*,0,0,0,1,3
2,0,2,*,1,0,0,1,3
2,0,3,0,0,0,0,1,3
2,0,3,0,1,0,0,1,3
2,0,3,0,*,0,0,1,3
2,0,3,1,0,0,0,1,3
2,0,3,1,1,0,0,1,3
2,0,3,2,0,0,0,1,3
2,0,3,2,1,0,0,1,3
2,0,3,3,0,0,0,1,3
2,0,3,3,1,0,0,1,3
2,0,3,4,0,0,0,1,3
2,0,3,4,1,0,0,1,3
2,0,3,*,1,0,0,1,3
2,0,4,0,0,0,0,1,3
2,0,4,0,1,0,0,1,3
2,0,4,1,0,0,0,1,3
2,0,4,1,1,0,0,1,3
2,0,4,2,0,0,0,1,3
2,0,4,2,1,0.002,0,0.998,3
2,0,4,3,1,0.01,0,0.99,3
2,0,4,4,0,0.018,0,0.982,3
2,0,4,4,1,0.068,0,0.932,3
2,0,4,*,0,0.003,0,0.997,3
2,0,*,2,0,0,0,1,3
2,0,*,3,1,0.001,0,0.999,3
2,0,*,4,0,0.001,0,0.999,3
2,0,*,*,*,0,0,1,3
2,1,0,0,0,0,0,1,3
2,1,0,0,1,0,0,1,3
2,1,0,1,0,0,0,1,3
2,1,0,1,1,0,0,1,3
2,1,0,2,0,0,0,1,3
2,1,0,2,1,0,0,1,3
2,1,0,3,0,0,0,1,3
2,1,0,3,1,0,0,1,3
2,1,0,4,0,0,0,1,3
2,1,0,4,1,0,0,1,3
2,1,0,4,*,0,0,1,3
2,1,0,*,0,0,0,1,3
2,1,0,*,1,0,0,1,3
2,1,1,0,0,0,0,1,3
2,1,1,0,1,0,0,1,3
2,1,1,0,*,0,0,1,3
2,1,1,1,0,0,0,1,3
2,1,1,1,1,0,0,1,3
2,1,1,1,*,0,0,1,3
2,1,1,2,0,0,0,1,3
2,1,1,2,1,0,0,1,3
2,1,1,3,0,0,0,1,3
2,1,1,3,1,0,0,1,3
2,1,1,4,0,0,0,1,3
2,1,1,4,1,0,0,1,3
2,1,1,*,0,0,0,1,3
2,1,1,*,1,0,0,1,3
2,1,2,0,0,0,0,1,3
2,1,2,0,1,0,0,1,3
2,1,2,1,0,0,0,1,3
2,1,2,1,1,0,0,1,3
2,1,2,1,*,0,0,1,3
2,1,2,2,0,0,0,1,3
2,1,2,2,1,0,0,1,3
2,1,2,3,0,0,0,1,3
2,1,2,3,1,0,0,1,3
2,1,2,4,0,0,0,1,3
2,1,2,4,1,0,0,1,3
2,1,2,*,0,0,0,1,3
2,1,2,*,1,0,0,1,3
2,1,3,0,0,0,0,1,3
2,1,3,0,1,0,0,1,3
2,1,3,1,0,0,0,1,3
2,1,3,1,1,0,0,1,3
2,1,3,2,0,0,0,1,3
2,1,3,2,1,0,0,1,3
2,1,3,3,0,0,0,1,3
2,1,3,3,1,0,0,1,3
2,1,3,3,*,0,0,1,3
2,1,3,4,0,0,0,1,3
2,1,3,4,1,0,0,1,3
2,1,3,*,0,0,0,1,3
2,1,4,0,0,0,0,1,3
2,1,4,0,1,0,0,1,3
2,1,4,1,0,0,0,1,3
2,1,4,1,1,0,0,1,3
2,1,4,2,0,0.001,0,0.999,3
2,1,4,2,1,0.002,0,0.998,3
2,1,4,3,1,0.015,0,0.985,3
2,1,4,4,0,0.026,0,0.974,3
2,1,4,4,1,0.098,0,0.902,3
2,1,4,4,*,0.055,0,0.945,3
2,1,4,*,1,0.02,0,0.98,3
2,1,*,3,1,0.001,0,0.999,3
2,1,*,*,0,0,0,1,3
2,1,*,*,*,0.001,0,0.999,3
2,2,0,0,0,0,0,1,3
2,2,0,0,1,0,0,1,3
2,2,0,0,*,0,0,1,3
2,2,0,1,0,0,0,1,3
2,2,0,1,1,0,0,1,3
2,2,0,2,0,0,0,1,3
2,2,0,2,1,0,0,1,3
2,2,0,2,*,0,0,1,3
2,2,0,3,0,0,0,1,3
2,2,0,3,1,0,0,1,3
2,2,0,3,*,0,0,1,3
2,2,0,4,0,0,0,1,3
2,2,0,4,1,0,0,1,3
2,2,0,4,*,0,0,1,3
2,2,0,*,0,0,0,1,3
2,2,0,*,1,0,0,1,3
2,2,0,*,*,0,0,1,3
2,2,1,0,0,0,0,1,3
2,2,1,0,1,0,0,1,3
2,2,1,1,0,0,0,1,3
2,2,1,1,1,0,0,1,3
2,2,1,1,*,0,0,1,3
2,2,1,2,0,0,0,1,3
2,2,1,2,1,0,0,1,3
2,2,1,2,*,0,0,1,3
2,2,1,3,0,0,0,1,3
2,2,1,3,1,0,0,1,3
2,2,1,3,*,0,0,1,3
2,2,1,4,0,0,0,1,3
2,2,1,4,1,0,0,1,3
2,2,1,4,*,0,0,1,3
2,2,1,*,0,0,0,1,3
2,2,1,*,1,0,0,1,3
2,2,1,*,*,0,0,1,3
2,2,2,0,0,0,0,1,3
2,2,2,0,1,0,0,1,3
2,2,2,0,*,0,0,1,3
2,2,2,1,0,0,0,1,3
2,2,2,1,1,0,0,1,3
2,2,2,2,0,0,0,1,3
2,2,2,2,1,0,0,1,3
2,2,2,2,*,0,0,1,3
2,2,2,3,0,0,0,1,3
2,2,2,3,1,0,0,1,3
2,2,2,3,*,0,0,1,3
2,2,2,4,0,0,0,1,3
2,2,2,4,1,0,0,1,3
2,2,2,4,*,0,0,1,3
2,2,2,*,0,0,0,1,3
2,2,2,*,1,0,0,1,3
2,2,2,*,*,0,0,1,3
2,2,3,0,0,0,0,1,3
2,2,3,0,1,0,0,1,3
2,2,3,1,0,0,0,1,3
2,2,3,1,1,0,0,1,3
2,2,3,1,*,0,0,1,3
2,2,3,2,0,0,0,1,3
2,2,3,2,1,0,0,1,3
2,2,3,2,*,0,0,1,3
2,2,3,3,0,0,0,1,3
2,2,3,3,1,0,0,1,3
2,2,3,4,0,0,0,1,3
2,2,3,4,1,0,0,1,3
2,2,3,4,*,0,0,1,3
2,2,3,*,0,0,0,1,3
2,2,3,*,1,0,0,1,3
2,2,3,*,*,0,0,1,3
2,2,4,0,0,0,0.011,0.988,3
2,2,4,0,1,0,0.016,0.984,3
2,2,4,0,*,0,0.013,0.987,3
2,2,4,1,0,0,0.016,0.984,3
2,2,4,1,1,0,0.023,0.977,3
2,2,4,1,*,0,0.019,0.981,3
2,2,4,2,0,0.001,0.029,0.97,3
2,2,4,2,1,0.003,0.041,0.956,3
2,2,4,2,*,0.001,0.034,0.965,3
2,2,4,3,0,0.004,0.106,0.89,3
2,2,4,3,1,0.014,0.142,0.844,3
2,2,4,4,0,0.028,0.051,0.922,3
2,2,4,4,1,0.1,0.065,0.835,3
2,2,4,*,0,0.005,0.037,0.957,3
2,2,4,*,1,0.02,0.051,0.929,3
2,2,*,0,0,0,0.001,0.999,3
2,2,*,0,1,0,0.001,0.999,3
2,2,*,0,*,0,0.001,0.999,3
2,2,*,1,0,0,0.001,0.999,3
2,2,*,2,0,0,0.002,0.998,3
2,2,*,2,1,0,0.002,0.997,3
2,2,*,3,0,0,0.007,0.993,3
2,2,*,3,1,0.001,0.009,0.99,3
2,2,*,4,0,0.002,0.003,0.995,3
2,2,*,4,1,0.007,0.004,0.989,3
2,2,*,*,*,0.001,0.003,0.997,3
2,3,4,0,0,0.001,0.999,0,2
2,3,4,0,1,0.003,0.997,0,2
2,3,4,1,0,0,1,0,2
2,3,4,1,1,0,1,0,2
2,3,4,2,0,0.003,0.997,0,2
